Lake,Year,Manual_Chl,DOYtrunc
R,1984,4.48,156
R,1984,5.56,163
R,1984,2.07,170
R,1984,1.32,177
R,1984,2.06,184
R,1984,1.33,191
R,1984,1.23,198
R,1984,0.61,205
R,1984,1.15,212
R,1984,2.27,219
R,1984,3.09,226
R,1984,2.52,233
R,1985,0.51,141
R,1985,1.72,148
R,1985,0.64,155
R,1985,1.1,162
R,1985,1.65,169
R,1985,1.1,176
R,1985,0.43,183
R,1985,1.7,190
R,1985,1.2,197
R,1985,2.14,204
R,1985,5.99,211
R,1985,3.32,218
R,1985,5.56,225
R,1985,4.67,232
R,1985,3.12,239
R,1985,3.39,246
R,1985,8.14,260
R,1986,2.49,147
R,1986,2.53,154
R,1986,2.83,161
R,1986,3.24,168
R,1986,4.3,175
R,1986,3.12,182
R,1986,4.04,189
R,1986,4.3,196
R,1986,4.17,203
R,1986,2.33,210
R,1986,3.62,217
R,1986,3.72,224
R,1986,3.85,231
R,1986,7.24,238
R,1986,6.39,245
R,1987,3.0322,146
R,1987,2.9624,153
R,1987,3.3116,160
R,1987,0.8905,167
R,1987,1.4143,174
R,1987,1.1931,181
R,1987,1.2571,188
R,1987,1.9206,195
R,1987,1.519,202
R,1987,1.1524,209
R,1987,1.0825,216
R,1987,0.9778,223
R,1987,1.973,230
R,1987,1.5365,237
R,1987,0.7857,244
R,1987,1.2222,251
R,1988,1.72,145
R,1988,2.39,152
R,1988,1.07,159
R,1988,2.66,166
R,1988,1.2,173
R,1988,1.86,180
R,1988,2.66,187
R,1988,3.67,194
R,1988,2.94,201
R,1988,2.76,208
R,1988,3.1,215
R,1988,2.65,222
R,1988,2.57,229
R,1988,3.45,236
R,1988,4.33,243
R,1988,5.43,249
R,1989,10.09,143
R,1989,2.68,150
R,1989,3.31,157
R,1989,9.03,164
R,1989,4.42,171
R,1989,3.43,178
R,1989,3.22,185
R,1989,2.72,192
R,1989,1.89,199
R,1989,1.94,206
R,1989,2.64,213
R,1989,2.51,220
R,1989,3.65,227
R,1989,2.07,234
R,1989,2.76,241
R,1989,3.63,248
R,1990,1.42,142
R,1990,4.32,149
R,1990,6.39,156
R,1990,6.02,163
R,1990,6.05,170
R,1990,2.05,177
R,1990,2.62,184
R,1990,2.48,191
R,1990,2.78,198
R,1990,2.81,205
R,1990,4.43,212
R,1990,3.35,219
R,1990,3.18,226
R,1990,3.96,233
R,1990,3.93,239
R,1990,4.83,247
R,1990,7.87,253
R,1991,2.453,140
R,1991,1.746,148
R,1991,3.708,155
R,1991,2.759,162
R,1991,2.832,169
R,1991,3.405,176
R,1991,4.708,183
R,1991,2.804,190
R,1991,2.536,197
R,1991,2.592,204
R,1991,3.823,211
R,1991,2.273,218
R,1991,1.539,225
R,1991,2.612,232
R,1991,2.007,239
R,1991,2.554,246
R,1992,6.507,141
R,1992,4.646,148
R,1992,4.346,155
R,1992,3.668,162
R,1992,5.561,169
R,1992,4.434,176
R,1992,2.929,183
R,1992,6.267,190
R,1992,5.938,197
R,1992,3.683,204
R,1992,3.018,211
R,1992,5.883,218
R,1992,4.436,225
R,1992,3.249,232
R,1992,4.83,239
R,1992,6.056,246
R,1992,5.342,253
R,1998,4.642,146
R,1998,4.81,153
R,1998,4.483,160
R,1998,4.418,167
R,1998,2.993,174
R,1998,3.295,181
R,1998,5.281,188
R,1998,5.684,195
R,1998,2.518,202
R,1998,3.813,209
R,1998,5.789,216
R,1998,5.258,223
R,1998,5.957,230
R,1998,7.047,237
R,1998,5.313,242
R,1999,11.013,144
R,1999,8.594,151
