Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Acton,268,278,2014,5.157145722,271,Chlorophyll-a,10,0.712409403,1,Eutrophic
Acton,193,260,2014,47.16603279,233,Chlorophyll-a,67,1.673629349,1.826074803,Eutrophic
Barco,184,192,2020,2.755138829,188,Chlorophyll-a,8,0.440143487,0.903089987,Oligotrophic
Barco,181,189,2021,2.929490942,183,Chlorophyll-a,8,0.46679216,0.903089987,Oligotrophic
Barco,271,295,2018,15.16999164,280,Chlorophyll-a,24,1.180985341,1.380211242,Oligotrophic
Barco,202,238,2018,5.015379983,209,Chlorophyll-a,36,0.700303842,1.556302501,Oligotrophic
Barco,231,286,2023,3.994273435,234,Chlorophyll-a,55,0.601437792,1.740362689,Oligotrophic
Barco,216,297,2021,7.95987376,272,Chlorophyll-a,81,0.90090618,1.908485019,Oligotrophic
Barco,243,329,2020,25.81358618,251,Chlorophyll-a,86,1.411848344,1.934498451,Oligotrophic
Barco,241,327,2024,4.562482766,271,Chlorophyll-a,86,0.659201237,1.934498451,Oligotrophic
Cheney,86,93,2016,2.793801266,88,Chlorophyll-a,7,0.44619551,0.84509804,Mesotrophic
Cheney,99,110,2001,5.331666166,100,Chlorophyll-a,11,0.726862949,1.041392685,Mesotrophic
Cheney,165,176,2010,7.453255161,170,Chlorophyll-a,11,0.872345989,1.041392685,Mesotrophic
Cheney,245,256,2015,3.199957036,247,Chlorophyll-a,11,0.505144147,1.041392685,Mesotrophic
Cheney,63,76,2004,3.564668404,68,Chlorophyll-a,13,0.552019137,1.113943352,Mesotrophic
Cheney,65,78,2012,4.964613454,70,Chlorophyll-a,13,0.69588544,1.113943352,Mesotrophic
Cheney,65,78,2013,4.964613454,70,Chlorophyll-a,13,0.69588544,1.113943352,Mesotrophic
Cheney,219,240,2003,17.9215799,227,Chlorophyll-a,21,1.253376293,1.322219295,Mesotrophic
Cheney,70,99,2014,6.602376049,79,Chlorophyll-a,29,0.819700257,1.462397998,Mesotrophic
Cheney,62,93,2010,24.4124144,63,Chlorophyll-a,31,1.387610733,1.491361694,Mesotrophic
Cheney,64,101,2008,5.739247668,82,Chlorophyll-a,37,0.758854966,1.568201724,Mesotrophic
Cheney,6,48,2016,10.84027315,29,Chlorophyll-a,42,1.035040226,1.62324929,Mesotrophic
Cheney,51,99,2009,3.520212176,59,Chlorophyll-a,48,0.546568841,1.681241237,Mesotrophic
Cheney,59,122,2007,6.55877166,73,Chlorophyll-a,63,0.816822511,1.799340549,Mesotrophic
Cheney,20,84,2005,4.23188824,31,Chlorophyll-a,64,0.62653419,1.806179974,Mesotrophic
Cheney,30,94,2006,6.363984751,67,Chlorophyll-a,64,0.80372913,1.806179974,Mesotrophic
Cheney,25,95,2015,9.676861045,79,Chlorophyll-a,70,0.985734505,1.84509804,Mesotrophic
Cheney,6,117,2003,12.26583258,57,Chlorophyll-a,111,1.088697033,2.045322979,Mesotrophic
Crampton,117,128,2025,8.350661636,118,Chlorophyll-a,11,0.921720887,1.041392685,Oligotrophic
